transaction_id,transaction_date,customer_id,product_id,store_id,quantity,unit_price,discount_pct,total_value,payment_method,channel
TXN0000032,2022-04-25,CUST95934,PROD0072,STR029,2,171.2,0.0,342.4,Online,In-Store
TXN0000033,2022-03-28,CUST01203,PROD0231,STR014,4,15.75,0.0,63.0,Voucher,In-Store
TXN0000034,2022-06-20,CUST00696,PROD0251,STR036,-1,55.84,0.0,-55.84,Card,In-Store
TXN0000035,2022-12-29,CUST01012,PROD0336,STR039,5,142.22,0.0,711.1,Card,In-Store
TXN0000036,2022-12-03,CUST00594,PROD0100,STR015,1,100.26,0.0,100.26,Cash,In-Store
TXN0000037,2022-12-05,CUST00426,PROD0452,STR045,-1,29.62,0.0,-29.62,Voucher,In-Store
TXN0000038,2023-02-10,CUST01415,PROD0226,STR005,4,11.89,0.0,47.56,Card,In-Store
TXN0000039,2022-09-18,CUST01482,PROD0131,STR035,3,116.62,0.0,349.86,Card,In-Store
TXN0000040,2023-09-10,,PROD0318,STR007,2,60.07,0.0,120.14,Voucher,In-Store
TXN0000041,2023-11-17,CUST98722,PROD0165,,2,64.37,0.0,128.74,Card,Online
TXN0000042,2023-07-06,CUST00635,PROD0377,STR028,4,175.45,0.0,701.8,Voucher,In-Store
TXN0000043,2023-09-06,CUST01964,PROD0032,STR038,3,816.39,0.26,1812.39,Voucher,In-Store
TXN0000044,2022-05-21,CUST01562,PROD0130,STR047,4,35.88,0.0,143.52,Cash,In-Store
TXN0000045,2022-10-02,CUST00965,PROD0068,STR038,2,479.11,0.0,958.22,Card,In-Store
TXN0000046,2022-06-04,CUST00861,PROD0058,STR011,5,725.45,0.0,3627.25,Online,In-Store
TXN0000047,2023-06-12,CUST00497,PROD0474,STR014,1,29.15,0.08,26.82,Cash,In-Store
TXN0000048,2022-08-24,CUST01555,PROD0090,STR025,-1,35.66,0.28,-25.68,Online,In-Store
TXN0000049,2023-10-09,CUST00046,PROD0306,STR046,5,80.5,0.0,402.5,Card,In-Store
TXN0000050,2022-07-13,CUST01186,PROD0191,STR047,4,13.8,0.0,55.2,Voucher,In-Store
TXN0000051,2022-09-07,CUST00567,PROD0329,STR031,1,32.59,0.13,28.35,Online,In-Store
TXN0000052,2022-11-20,CUST01873,PROD0427,STR050,-1,76.3,0.0,-76.3,Card,In-Store
TXN0000053,2022-07-06,CUST01554,PROD0002,STR022,3,485.64,0.0,1456.92,Card,In-Store
TXN0000054,2022-12-23,CUST00377,PROD0024,STR025,4,476.22,0.28,1371.51,Card,In-Store
TXN0000055,2023-01-15,CUST00007,PROD0154,STR015,1,97.61,0.0,97.61,Online,In-Store
TXN0000056,2022-11-28,CUST01923,PROD0052,STR038,4,919.54,0.2,2942.53,Card,In-Store
TXN0000057,2023-07-30,CUST01548,PROD0390,STR019,2,118.81,0.0,237.62,Online,In-Store
TXN0000058,2023-08-02,CUST01776,PROD0319,STR001,4,58.97,0.0,235.88,Online,In-Store
TXN0000059,2023-10-13,CUST00298,PROD0290,STR043,1,52.65,0.0,52.65,Card,In-Store
TXN0000060,2023-08-29,CUST01545,PROD0220,STR037,2,8.87,0.2,14.19,Cash,In-Store
TXN0000061,2022-01-23,CUST01862,PROD0483,STR049,1,10.27,0.0,10.27,Voucher,In-Store
TXN0000062,2023-06-19,CUST00323,PROD0296,STR001,5,18.78,0.0,93.9,Card,In-Store
TXN0000063,2023-08-09,CUST01288,PROD0189,STR024,2,6.03,0.0,12.06,Card,In-Store
TXN0000064,2023-04-17,CUST02000,PROD0250,,4,81.24,0.0,324.96,Online,Online
TXN0000065,2022-07-09,CUST01149,PROD0402,STR042,1,152.93,0.23,117.76,Card,In-Store
TXN0000066,2022-05-22,CUST01370,PROD0224,,3,3.96,0.0,11.88,Card,Online
TXN0000067,2023-04-06,CUST01420,PROD0028,STR009,3,801.16,0.0,2403.48,Card,In-Store
TXN0000068,2023-05-13,,PROD0427,STR009,1,76.3,0.0,76.3,Cash,In-Store
TXN0000069,2023-01-11,CUST00260,PROD0255,,1,84.29,0.0,84.29,Cash,Online
TXN0000070,2023-12-23,CUST01141,PROD0210,STR014,3,9.34,0.0,28.02,Card,In-Store
TXN0000071,2022-07-01,CUST01147,PROD0258,STR047,2,77.99,0.07,145.06,Online,In-Store
TXN0000072,2023-10-30,CUST00370,PROD0485,STR046,5,50.03,0.15,212.63,Card,In-Store
TXN0000073,2023-07-10,CUST00242,PROD0474,,-1,29.15,0.19,-23.61,Card,Online
TXN0000074,2023-09-18,CUST00353,PROD0092,,4,27.79,0.0,111.16,Card,Online
TXN0000075,2022-03-24,,PROD0383,STR029,1,39.25,0.0,39.25,Cash,In-Store
TXN0000076,2022-02-14,CUST00019,PROD0017,STR021,4,665.99,0.0,2663.96,Card,In-Store
TXN0000077,2023-12-19,CUST01341,PROD0335,STR020,1,26.84,0.0,26.84,Cash,In-Store
TXN0000078,2023-10-24,CUST01689,PROD0073,STR036,5,236.05,0.0,1180.25,Online,In-Store
TXN0000079,2022-09-21,CUST00579,PROD0143,STR047,4,11.81,0.0,47.24,Cash,In-Store
TXN0000080,2022-11-15,CUST00146,PROD0416,STR047,5,72.77,0.0,363.85,Card,In-Store
TXN0000081,2022-06-07,CUST01919,PROD0181,STR044,5,22.58,0.0,112.9,Cash,In-Store
TXN0000082,2023-01-04,CUST00621,PROD0225,STR016,3,17.85,0.0,53.55,Card,In-Store
TXN0000083,2023-02-20,CUST00794,PROD0442,STR048,3,23.97,0.0,71.91,Cash,In-Store
TXN0000084,2022-09-15,CUST00725,PROD0457,STR036,3,11.62,0.0,34.86,Cash,In-Store
TXN0000085,2023-01-27,,PROD0472,,3,26.02,0.0,78.06,Card,Online
TXN0000086,2023-03-31,CUST01444,PROD0475,STR029,3,48.04,0.29,102.33,Cash,In-Store
TXN0000087,2022-07-30,,PROD0290,,2,52.65,0.0,105.3,Card,Online
TXN0000088,2022-04-20,CUST00417,PROD0022,STR002,4,765.1,0.0,3060.4,Card,In-Store
TXN0000089,2022-03-27,CUST00079,PROD0052,STR007,4,919.54,0.25,2758.62,Voucher,In-Store
TXN0000090,2023-04-01,CUST01664,PROD0350,STR011,4,158.88,0.0,635.52,Card,In-Store
TXN0000091,2022-08-28,CUST00003,PROD0162,,3,54.71,0.0,164.13,Voucher,Online
TXN0000092,2022-05-19,CUST00244,PROD0094,STR037,4,39.45,0.26,116.77,Voucher,In-Store
TXN0000093,2022-02-21,CUST01422,PROD0041,STR047,3,668.71,0.0,2006.13,Voucher,In-Store
TXN0000094,2023-12-04,CUST00180,PROD0133,STR003,4,115.59,0.0,462.36,Card,In-Store
TXN0000095,2022-04-13,CUST00203,PROD0392,STR030,4,29.55,0.0,118.2,Voucher,In-Store
TXN0000096,2023-08-28,CUST00270,PROD0346,STR043,3,59.61,0.3,125.18,Card,In-Store
TXN0000097,2023-11-25,CUST00486,PROD0319,STR001,2,58.97,0.14,101.43,Card,In-Store
TXN0000098,2022-08-08,CUST00295,PROD0220,STR049,1,8.87,0.0,8.87,Voucher,In-Store
TXN0000099,2023-09-21,CUST00714,PROD0466,STR022,1,11.76,0.0,11.76,Card,In-Store
TXN0000100,2022-12-21,CUST00290,PROD0125,STR003,3,62.26,0.15,158.76,Card,In-Store
TXN0000101,2023-08-07,CUST00241,PROD0482,,-1,19.1,0.15,-16.23,Card,Online
TXN0000102,2023-05-04,CUST00514,PROD0135,STR031,1,105.34,0.0,105.34,Cash,In-Store
TXN0000103,2023-11-10,CUST01536,PROD0100,STR045,5,100.26,0.0,501.3,Card,In-Store
TXN0000104,2022-01-03,CUST00033,PROD0202,STR011,4,21.83,0.0,87.32,Voucher,In-Store
TXN0000105,2022-12-23,CUST01603,PROD0038,STR017,4,413.87,0.08,1523.04,Online,In-Store
TXN0000106,2022-09-18,CUST00613,PROD0095,STR037,5,38.08,0.0,190.4,Cash,In-Store
TXN0000107,2022-11-12,CUST01728,PROD0170,STR003,1,15.43,0.0,15.43,Card,In-Store
TXN0000108,2022-12-21,CUST00621,PROD0392,STR017,5,29.55,0.0,147.75,Card,In-Store
TXN0000109,2022-04-01,CUST01154,PROD0197,STR040,4,14.43,0.0,57.72,Card,In-Store
TXN0000110,2023-04-13,CUST00763,PROD0172,STR029,5,3.49,0.2,13.96,Online,In-Store
TXN0000111,2023-03-10,CUST00734,PROD0160,STR016,2,125.19,0.0,250.38,Voucher,In-Store
TXN0000112,2022-05-25,CUST01898,PROD0235,STR017,3,4.49,0.0,13.47,Voucher,In-Store
TXN0000113,2023-09-03,CUST00664,PROD0065,,1,116.2,0.0,116.2,Online,Online
TXN0000114,2022-01-07,CUST00701,PROD0093,STR007,2,71.02,0.28,102.27,Online,In-Store
TXN0000115,2022-05-08,CUST00387,PROD0268,STR044,5,50.92,0.0,254.6,Card,In-Store
TXN0000116,2023-05-31,CUST01282,PROD0224,STR036,2,3.96,0.0,7.92,Card,In-Store
TXN0000117,2023-12-08,,PROD0086,STR046,1,41.96,0.0,41.96,Card,In-Store
TXN0000118,2022-08-31,,PROD0246,STR014,5,16.08,0.0,80.4,Online,In-Store
TXN0000119,2022-06-08,CUST01274,PROD0261,STR033,5,55.47,0.0,277.35,Voucher,In-Store
TXN0000120,2022-04-09,,PROD0264,STR011,2,38.98,0.1,70.16,Card,In-Store
TXN0000121,2023-07-04,CUST01137,PROD0066,STR004,2,293.26,0.0,586.52,Card,In-Store
TXN0000122,2023-11-02,CUST01727,PROD0109,STR048,2,67.57,0.0,135.14,Card,In-Store
TXN0000123,2023-08-15,CUST00054,PROD0309,STR048,2,13.01,0.21,20.56,Card,In-Store
TXN0000124,2022-10-11,CUST97675,PROD0480,,2,38.97,0.0,77.94,Cash,Online
TXN0000125,2023-12-14,CUST00536,PROD0125,,3,62.26,0.0,186.78,Card,Online
TXN0000126,2022-12-10,CUST00236,PROD0209,,3,16.36,0.0,49.08,Online,Online
TXN0000127,2022-08-25,CUST00919,PROD0479,STR038,4,19.34,0.07,71.94,Card,In-Store
TXN0000128,2023-10-30,CUST00304,PROD0083,STR044,5,685.46,0.0,3427.3,Card,In-Store
TXN0000129,2023-09-15,CUST00120,PROD0021,STR014,2,297.36,0.0,594.72,Voucher,In-Store
TXN0000130,2023-07-09,CUST00333,PROD0421,STR011,3,57.2,0.0,171.6,Cash,In-Store
TXN0000131,2022-05-02,CUST01510,PROD0215,,-1,11.43,0.0,-11.43,Card,Online
TXN0000132,2023-02-07,CUST01613,PROD0236,STR010,1,3.01,0.0,3.01,Card,In-Store
TXN0000133,2022-11-07,CUST01807,PROD0298,STR020,3,59.18,0.0,177.54,Card,In-Store
TXN0000134,2022-07-21,CUST01409,PROD0351,STR015,3,82.01,0.21,194.36,Card,In-Store
TXN0000135,2022-06-21,CUST00482,PROD0233,STR009,2,9.67,0.29,13.73,Card,In-Store
TXN0000136,2022-08-10,CUST01314,PROD0403,STR048,4,168.39,0.0,673.56,Cash,In-Store
TXN0000137,2022-04-14,CUST96493,PROD0348,STR003,5,41.27,0.0,206.35,Online,In-Store
TXN0000138,2023-12-05,CUST01275,PROD0379,,5,55.62,0.0,278.1,Voucher,Online
TXN0000139,2022-03-28,CUST01388,PROD0337,STR015,5,150.11,0.0,750.55,Cash,In-Store
TXN0000140,2022-10-16,CUST01494,PROD0485,STR024,4,50.03,0.0,200.12,Cash,In-Store
TXN0000141,2022-09-09,CUST00318,PROD0134,,2,117.01,0.26,173.17,Voucher,Online
TXN0000142,2023-06-26,CUST01913,PROD0256,STR018,-1,57.42,0.0,-57.42,Card,In-Store
TXN0000143,2023-12-08,CUST01099,PROD0138,STR038,4,29.88,0.0,119.52,Voucher,In-Store
TXN0000144,2022-12-10,CUST99451,PROD0185,STR018,2,25.05,0.0,50.1,Card,In-Store
TXN0000145,2023-03-18,CUST00033,PROD0107,STR019,3,37.91,0.0,113.73,Online,In-Store
TXN0000146,2022-11-10,CUST01324,PROD0261,STR026,1,55.47,0.0,55.47,Card,In-Store
TXN0000147,2023-08-13,CUST00982,PROD0196,STR008,4,10.66,0.27,31.13,Card,In-Store
TXN0000148,2022-05-20,CUST01577,PROD0123,STR008,3,142.0,0.25,319.5,Card,In-Store
TXN0000149,2023-11-15,CUST00645,PROD0489,STR016,3,5.72,0.0,17.16,Card,In-Store
TXN0000150,2022-11-05,CUST01691,PROD0398,STR004,3,122.19,0.0,366.57,Card,In-Store
TXN0000151,2022-08-20,CUST01460,PROD0054,STR047,-1,1299.29,0.0,-1299.29,Cash,In-Store
TXN0000152,2022-05-04,CUST00641,PROD0041,STR036,3,668.71,0.0,2006.13,Voucher,In-Store
TXN0000153,2022-10-14,CUST93127,PROD0379,STR030,2,55.62,0.17,92.33,Voucher,In-Store
TXN0000154,2022-06-17,CUST00605,PROD0446,STR022,1,51.06,0.0,51.06,Card,In-Store
TXN0000155,2023-04-19,CUST00799,PROD0232,STR021,2,6.04,0.0,12.08,Card,In-Store
TXN0000156,2022-10-13,CUST01463,PROD0467,,1,20.34,0.0,20.34,Card,Online
TXN0000157,2023-07-04,CUST00187,PROD0033,STR042,1,1032.88,0.28,743.67,Card,In-Store
TXN0000158,2023-11-30,CUST00799,PROD0092,STR030,2,27.79,0.06,52.25,Card,In-Store
TXN0000159,2022-08-21,CUST01631,PROD0496,,5,69.5,0.0,347.5,Voucher,Online
TXN0000160,2023-12-06,CUST00632,PROD0466,STR040,1,11.76,0.0,11.76,Card,In-Store
TXN0000161,2022-06-30,CUST01986,PROD0465,STR047,1,14.82,0.0,14.82,Card,In-Store
TXN0000162,2022-05-11,CUST00962,PROD0369,STR043,3,194.24,0.09,530.28,Voucher,In-Store
TXN0000163,2023-03-30,CUST01177,PROD0117,STR039,5,25.53,0.0,127.65,Card,In-Store
TXN0000164,2023-12-09,CUST00357,PROD0458,STR015,2,41.96,0.0,83.92,Card,In-Store
TXN0000165,2023-04-26,,PROD0204,STR030,1,2.67,0.2,2.14,Card,In-Store
TXN0000166,2023-06-02,CUST95934,PROD0414,STR003,2,60.26,0.15,102.44,Card,In-Store
TXN0000167,2023-10-23,CUST00750,PROD0433,STR044,5,28.32,0.0,141.6,Card,In-Store
TXN0000168,2023-11-14,CUST01649,PROD0407,STR035,4,40.83,0.0,163.32,Card,In-Store
TXN0000169,2023-03-30,CUST00626,PROD0386,STR014,3,197.17,0.09,538.27,Voucher,In-Store
TXN0000170,2023-06-05,CUST00632,PROD0009,STR010,1,69.8,0.0,69.8,Voucher,In-Store
TXN0000171,2023-12-03,CUST01383,PROD0095,STR004,2,38.08,0.0,76.16,Voucher,In-Store
TXN0000172,2022-02-20,CUST01003,PROD0461,STR047,4,67.55,0.21,213.46,Online,In-Store
TXN0000173,2022-02-26,CUST00026,PROD0140,STR007,4,76.11,0.0,304.44,Card,In-Store
TXN0000174,2022-08-23,CUST00609,PROD0439,STR042,5,55.71,0.21,220.05,Cash,In-Store
TXN0000175,2023-01-30,CUST00939,PROD0090,STR019,4,35.66,0.0,142.64,Voucher,In-Store
TXN0000176,2023-04-30,CUST00185,PROD0337,STR018,3,150.11,0.0,450.33,Card,In-Store
TXN0000177,2023-08-06,CUST01097,PROD0038,STR024,2,413.87,0.19,670.47,Voucher,In-Store
TXN0000178,2022-12-09,CUST00867,PROD0009,,5,69.8,0.0,349.0,Card,Online
TXN0000179,2023-07-15,CUST00562,PROD0255,,3,84.29,0.09,230.11,Cash,Online
TXN0000180,2023-11-14,CUST00368,PROD0008,STR007,1,1095.66,0.07,1018.96,Cash,In-Store
TXN0000181,2023-08-09,CUST01860,PROD0125,STR030,4,62.26,0.0,249.04,Online,In-Store
TXN0000182,2023-06-20,CUST00760,PROD0243,STR031,2,8.87,0.21,14.01,Voucher,In-Store
TXN0000183,2022-01-29,CUST01722,PROD0236,STR035,3,3.01,0.0,9.03,Voucher,In-Store
TXN0000184,2022-08-01,CUST00376,PROD0482,STR020,5,19.1,0.0,95.5,Card,In-Store
TXN0000185,2022-12-01,CUST00956,PROD0489,STR041,5,5.72,0.06,26.88,Card,In-Store
TXN0000186,2023-08-24,CUST01116,PROD0036,STR032,3,978.63,0.0,2935.89,Online,In-Store
TXN0000187,2023-10-18,CUST01902,PROD0234,STR001,3,21.52,0.0,64.56,Card,In-Store
TXN0000188,2023-07-12,CUST01268,PROD0341,STR029,4,39.9,0.0,159.6,Card,In-Store
TXN0000189,2023-03-06,CUST01053,PROD0418,STR045,2,45.5,0.0,91.0,Card,In-Store
TXN0000190,2022-01-24,CUST01582,PROD0209,STR031,2,16.36,0.0,32.72,Online,In-Store
TXN0000191,2023-03-13,CUST01467,PROD0316,STR008,2,8.41,0.22,13.12,Cash,In-Store
TXN0000192,2022-11-25,,PROD0106,STR047,1,100.15,0.0,100.15,Card,In-Store
TXN0000193,2022-06-15,CUST00321,PROD0271,STR028,2,19.43,0.0,38.86,Online,In-Store
TXN0000194,2022-10-24,CUST01612,PROD0470,STR037,5,72.14,0.0,360.7,Card,In-Store
TXN0000195,2023-02-28,CUST01197,PROD0337,STR049,4,150.11,0.0,600.44,Card,In-Store
TXN0000196,2023-12-03,CUST00994,PROD0406,STR039,3,148.69,0.0,446.07,Card,In-Store
TXN0000197,2022-10-10,CUST01081,PROD0297,STR018,4,33.91,0.24,103.09,Voucher,In-Store
TXN0000198,2023-12-18,CUST01954,PROD0075,STR027,-1,244.06,0.0,-244.06,Cash,In-Store
TXN0000199,2023-08-13,CUST01105,PROD0343,STR038,5,176.19,0.09,801.66,Card,In-Store
TXN0000200,2023-08-08,CUST01962,PROD0229,STR031,2,20.78,0.0,41.56,Online,In-Store
TXN0000201,2022-12-21,CUST00515,PROD0364,STR038,4,174.58,0.05,663.4,Card,In-Store
TXN0000202,2022-10-12,CUST00916,PROD0291,STR005,4,13.44,0.0,53.76,Card,In-Store
TXN0000203,2022-05-25,CUST01891,PROD0460,STR014,3,76.17,0.0,228.51,Card,In-Store
TXN0000204,2022-12-31,CUST01931,PROD0305,STR041,4,12.9,0.0,51.6,Online,In-Store
TXN0000205,2023-03-17,CUST01477,PROD0498,STR005,1,22.97,0.0,22.97,Cash,In-Store
TXN0000206,2022-09-23,CUST01520,PROD0357,STR005,3,55.66,0.1,150.28,Cash,In-Store
TXN0000207,2022-07-15,,PROD0425,STR009,4,47.15,0.0,188.6,Card,In-Store
TXN0000208,2023-04-14,,PROD0150,STR007,2,98.62,0.0,197.24,Card,In-Store
TXN0000209,2023-08-17,CUST00115,PROD0213,STR043,5,17.72,0.25,66.45,Voucher,In-Store
TXN0000210,2022-11-18,CUST00206,PROD0364,STR049,2,174.58,0.25,261.87,Card,In-Store
TXN0000211,2023-10-25,CUST00154,PROD0340,STR030,4,26.11,0.0,104.44,Card,In-Store
TXN0000212,2022-03-01,CUST00670,PROD0080,STR024,2,451.88,0.19,732.05,Card,In-Store
TXN0000213,2023-03-09,CUST00654,PROD0201,STR047,3,6.59,0.08,18.19,Cash,In-Store
TXN0000214,2023-10-01,CUST00442,PROD0407,,-1,40.83,0.0,-40.83,Card,Online
TXN0000215,2022-08-24,,PROD0012,STR029,2,1148.84,0.0,2297.68,Voucher,In-Store
TXN0000216,2023-03-15,CUST00582,PROD0402,STR029,4,152.93,0.0,611.72,Online,In-Store
TXN0000217,2023-09-17,CUST01517,PROD0178,STR012,3,15.41,0.0,46.23,Card,In-Store
TXN0000218,2022-06-27,CUST00699,PROD0467,STR017,2,20.34,0.0,40.68,Cash,In-Store
TXN0000219,2022-10-05,,PROD0367,STR030,-1,142.5,0.0,-142.5,Online,In-Store
TXN0000220,2022-01-17,CUST01199,PROD0047,STR043,4,622.75,0.14,2142.26,Card,In-Store
TXN0000221,2023-02-28,CUST00417,PROD0470,STR047,3,72.14,0.0,216.42,Card,In-Store
TXN0000222,2023-10-20,CUST00750,PROD0326,STR007,4,47.24,0.0,188.96,Card,In-Store
TXN0000223,2023-01-31,CUST01922,PROD0185,STR029,5,25.05,0.0,125.25,Card,In-Store
TXN0000224,2023-06-02,CUST01406,PROD0447,STR003,1,7.47,0.0,7.47,Online,In-Store
TXN0000225,2022-10-16,CUST01989,PROD0365,STR010,3,192.24,0.0,576.72,Cash,In-Store
TXN0000226,2023-04-08,CUST00194,PROD0294,,1,70.01,0.16,58.81,Online,Online
TXN0000227,2022-02-12,CUST00303,PROD0121,STR048,3,132.08,0.0,396.24,Card,In-Store
TXN0000228,2023-05-12,CUST00425,PROD0150,STR039,1,98.62,0.0,98.62,Online,In-Store
TXN0000229,2023-09-25,CUST00418,PROD0129,STR049,3,37.61,0.09,102.68,Card,In-Store
TXN0000230,2023-02-02,CUST01478,PROD0384,STR012,3,19.88,0.0,59.64,Cash,In-Store
TXN0000231,2022-05-28,CUST01567,PROD0058,STR044,4,725.45,0.0,2901.8,Cash,In-Store
TXN0000232,2022-07-19,CUST01206,PROD0379,STR013,1,55.62,0.0,55.62,Card,In-Store
TXN0000233,2022-11-09,,PROD0258,STR022,5,77.99,0.0,389.95,Cash,In-Store
TXN0000234,2022-01-11,CUST00293,PROD0441,STR033,3,20.98,0.0,62.94,Card,In-Store
TXN0000235,2022-07-14,CUST00857,PROD0404,STR012,4,19.09,0.27,55.74,Voucher,In-Store
TXN0000236,2022-11-21,CUST00699,PROD0213,STR032,2,17.72,0.14,30.48,Cash,In-Store
TXN0000237,2022-01-18,CUST00549,PROD0215,STR006,1,11.43,0.14,9.83,Voucher,In-Store
TXN0000238,2022-06-11,CUST01682,PROD0078,,5,868.5,0.0,4342.5,Cash,Online
TXN0000239,2023-08-29,CUST01001,PROD0163,STR026,3,19.5,0.0,58.5,Voucher,In-Store
TXN0000240,2022-06-07,CUST00737,PROD0331,STR019,4,62.87,0.14,216.27,Card,In-Store
TXN0000241,2023-11-11,CUST00797,PROD0133,STR036,5,115.59,0.0,577.95,Card,In-Store
TXN0000242,2022-08-17,CUST00920,PROD0336,,5,142.22,0.0,711.1,Cash,Online
TXN0000243,2022-03-07,CUST01525,PROD0420,STR012,1,5.73,0.0,5.73,Online,In-Store
TXN0000244,2023-11-10,CUST92493,PROD0467,STR028,1,20.34,0.0,20.34,Card,In-Store
TXN0000245,2022-01-09,CUST01596,PROD0054,STR036,5,1299.29,0.0,6496.45,Card,In-Store
TXN0000246,2022-05-17,CUST97675,PROD0429,STR037,-1,10.38,0.0,-10.38,Online,In-Store
TXN0000247,2023-05-07,CUST01155,PROD0126,STR025,3,137.24,0.0,411.72,Card,In-Store
TXN0000248,2022-11-15,CUST00739,PROD0397,STR014,1,192.39,0.09,175.07,Card,In-Store
TXN0000249,2022-05-29,CUST00187,PROD0092,,1,27.79,0.0,27.79,Online,Online
TXN0000250,2022-09-17,CUST00459,PROD0273,,2,38.43,0.27,56.11,Card,Online
TXN0000251,2022-06-07,CUST00396,PROD0423,STR040,4,79.39,0.0,317.56,Online,In-Store
TXN0000252,2023-12-24,CUST00689,PROD0282,STR028,1,46.03,0.0,46.03,Card,In-Store
TXN0000253,2022-01-06,CUST00773,PROD0179,STR013,2,3.23,0.0,6.46,Card,In-Store
TXN0000254,2022-11-26,CUST00963,PROD0324,STR016,1,27.74,0.0,27.74,Card,In-Store
TXN0000255,2022-12-30,CUST00256,PROD0083,STR043,4,685.46,0.15,2330.56,Voucher,In-Store
TXN0000256,2023-03-19,CUST00848,PROD0084,STR015,4,109.73,0.0,438.92,Online,In-Store
TXN0000257,2023-09-17,CUST01982,PROD0458,STR014,4,41.96,0.0,167.84,Voucher,In-Store
TXN0000258,2022-03-27,CUST01649,PROD0259,STR035,3,11.79,0.16,29.71,Cash,In-Store
TXN0000259,2023-03-21,CUST00778,PROD0283,,3,38.2,0.18,93.97,Cash,Online
TXN0000260,2022-07-25,CUST00917,PROD0461,STR044,2,67.55,0.0,135.1,Cash,In-Store
TXN0000261,2023-04-18,CUST00082,PROD0378,,5,121.44,0.0,607.2,Card,Online
TXN0000262,2023-05-20,CUST00685,PROD0198,STR041,1,18.39,0.27,13.42,Online,In-Store
TXN0000263,2023-06-20,CUST01822,PROD0052,,3,919.54,0.0,2758.62,Card,Online
TXN0000264,2023-04-17,CUST01012,PROD0471,STR038,5,75.41,0.0,377.05,Card,In-Store
TXN0000265,2022-12-25,CUST01544,PROD0092,STR010,1,27.79,0.0,27.79,Card,In-Store
TXN0000266,2023-07-01,CUST01836,PROD0197,STR007,2,14.43,0.0,28.86,Online,In-Store
TXN0000267,2023-06-04,CUST01118,PROD0304,STR021,5,87.88,0.0,439.4,Voucher,In-Store
TXN0000268,2023-10-14,CUST00093,PROD0005,STR038,4,1068.11,0.0,4272.44,Voucher,In-Store
